index,captured_at,device_id,sample_slot,scd40_temp,scd40_hum,sen55_temp,sen55_hum,scd40_offset_valid,scd40_offset,scd40_offset_raw,sen55_offset_valid,sen55_offset,sen55_offset_raw
1,2026-05-22T22:36:10.624451+00:00,ecosensor03,1,32.33,36.19,32.62,32.49,True,10.7,4007,True,-3.02,-604
2,2026-05-22T22:36:16.137804+00:00,ecosensor03,2,32.34,36.25,32.62,32.49,True,10.7,4007,True,-3.02,-604
3,2026-05-22T22:36:23.622399+00:00,ecosensor03,3,32.35,36.28,32.62,32.5,True,10.7,4007,True,-3.02,-604
4,2026-05-22T22:36:33.417430+00:00,ecosensor03,5,32.34,36.26,32.62,32.51,True,10.7,4007,True,-3.02,-604
5,2026-05-22T22:36:38.882427+00:00,ecosensor03,6,32.35,36.33,32.62,32.52,True,10.7,4007,True,-3.02,-604
6,2026-05-22T22:36:50.314340+00:00,ecosensor03,8,32.36,36.26,32.62,32.57,True,10.7,4007,True,-3.02,-604
7,2026-05-22T22:36:55.599713+00:00,ecosensor03,9,32.35,36.23,32.62,32.57,True,10.7,4007,True,-3.02,-604
8,2026-05-22T22:37:01.066573+00:00,ecosensor03,10,32.38,36.21,32.62,32.59,True,10.7,4007,True,-3.02,-604
9,2026-05-22T22:37:06.312917+00:00,ecosensor03,11,32.38,36.28,32.62,32.58,True,10.7,4007,True,-3.02,-604
10,2026-05-22T22:37:11.649682+00:00,ecosensor03,12,32.37,36.15,32.62,32.59,True,10.7,4007,True,-3.02,-604
11,2026-05-22T22:37:17.396172+00:00,ecosensor03,13,32.37,36.19,32.61,32.6,True,10.7,4007,True,-3.02,-604
12,2026-05-22T22:37:29.363268+00:00,ecosensor03,15,32.37,36.19,32.61,32.58,True,10.7,4007,True,-3.02,-604
13,2026-05-22T22:37:34.779441+00:00,ecosensor03,16,32.38,36.24,32.61,32.59,True,10.7,4007,True,-3.02,-604
14,2026-05-22T22:37:46.044937+00:00,ecosensor03,18,32.39,36.25,32.61,32.61,True,10.7,4007,True,-3.02,-604
15,2026-05-22T22:37:51.262291+00:00,ecosensor03,19,32.39,36.18,32.61,32.61,True,10.7,4007,True,-3.02,-604
16,2026-05-22T22:37:56.671609+00:00,ecosensor03,20,32.39,36.12,32.61,32.62,True,10.7,4007,True,-3.02,-604
17,2026-05-22T22:38:02.200954+00:00,ecosensor03,21,32.38,36.22,32.61,32.6,True,10.7,4007,True,-3.02,-604
18,2026-05-22T22:38:07.542956+00:00,ecosensor03,22,32.38,36.24,32.61,32.61,True,10.7,4007,True,-3.02,-604
